CAMIS,DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION TYPE,INSPECTION DATE,ACTION,SCORE,GRADE,GRADE DATE,Count
40366379,BLARNEY ROCK,137       ,WEST   33 STREET                                  ,10001,Irish,Cycle Inspection / Re-inspection,9/10/2015 0:00,Violations were cited in the following area(s).,7,A,9/10/2015,2
40367841,FIORELLOS,1900,BROADWAY,10023,Italian,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,2,A,9/15/2015,1
40368223,OYSTER BAR,0,GRAND CENTRAL TERMINAL,10017,Seafood,Cycle Inspection / Initial Inspection,10/8/2015 0:00,Violations were cited in the following area(s).,10,A,10/8/2015,3
40368346,DA SILVANO RESTAURANT,260,6 AVENUE,10014,Italian,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,7,A,10/5/2015,2
40368374,JIMMY'S CORNER,140,WEST   44 STREET,10036,American ,Cycle Inspection / Initial Inspection,9/28/2015 0:00,Violations were cited in the following area(s).,6,A,9/28/2015,3
40368897,HATSUHANA RESTAURANT,17,EAST   48 STREET,10017,Japanese,Cycle Inspection / Initial Inspection,10/8/2015 0:00,Violations were cited in the following area(s).,13,A,10/8/2015,3
40369619,MUDVILLE SALOON,126,CHAMBERS STREET,10007,American ,Cycle Inspection / Initial Inspection,10/13/2015 0:00,Violations were cited in the following area(s).,11,A,10/13/2015,4
40369878,VILLA MOSCONI RESTAURANT,69        ,MACDOUGAL STREET                                  ,10012,Italian,Cycle Inspection / Re-inspection,9/29/2015 0:00,Violations were cited in the following area(s).,9,A,9/29/2015,2
40369878,VILLA MOSCONI RESTAURANT,69        ,MACDOUGAL STREET                                  ,10012,Italian,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,30,,,6
40370146,MCDONALD'S,427,10 AVENUE,10001,Hamburgers,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,12,A,9/29/2015,2
40371313,MARIELLA PIZZA,180,3 AVENUE,10003,Pizza,Cycle Inspection / Re-inspection,9/17/2015 0:00,Violations were cited in the following area(s).,8,A,9/17/2015,2
40373113,ASTRO RESTAURANT,101       ,WEST   55 STREET                                  ,10019,American ,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,10,A,9/18/2015,2
40373113,ASTRO RESTAURANT,101       ,WEST   55 STREET                                  ,10019,American ,Administrative Miscellaneous / Re-inspection,9/18/2015 0:00,No violations were recorded at the time of this inspection.,,,,1
40373318,SOUEN RESTAURANT,210       ,6 AVENUE                                          ,10014,Japanese,Cycle Inspection / Re-inspection,9/3/2015 0:00,Violations were cited in the following area(s).,25,Z,9/3/2015,4
40373462,VILLA BERULIA,107,EAST   34 STREET,10016,Italian,Cycle Inspection / Initial Inspection,9/21/2015 0:00,Violations were cited in the following area(s).,9,A,9/21/2015,2
40376687,CHEZ JAQUELINE,72        ,MAC DOUGAL STREET                                 ,10012,French,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,24,,,4
40376687,CHEZ JAQUELINE,72        ,MAC DOUGAL STREET                                 ,10012,French,Smoke-Free Air Act / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,,,,1
40376735,PJ CARNEY'S,906,7 AVENUE,10019,Irish,Cycle Inspection / Initial Inspection,10/2/2015 0:00,Violations were cited in the following area(s).,12,A,10/2/2015,2
40376944,TOMOE SUSHI,172,THOMPSON STREET,10012,Japanese,Cycle Inspection / Re-inspection,10/6/2015 0:00,Violations were cited in the following area(s).,17,Z,10/6/2015,3
40376944,TOMOE SUSHI,172,THOMPSON STREET,10012,Japanese,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,27,,,5
40378136,BROADWAY RESTAURANT,2664,BROADWAY,10025,American ,Cycle Inspection / Re-inspection,9/11/2015 0:00,Violations were cited in the following area(s).,10,A,9/11/2015,3
40379355,MCALEER'S PUB,425,AMSTERDAM AVENUE,10024,Irish,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,13,A,9/22/2015,3
40381720,MISS LILY'S 7A,109,AVENUE A,10009,Caribbean,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,29,,,6
40381720,MISS LILY'S 7A,109,AVENUE A,10009,Caribbean,Smoke-Free Air Act / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,,,,1
40383040,SPRING ST. NATURAL RESTAURANT,62        ,SPRING STREET                                     ,10012,American ,Cycle Inspection / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,12,A,9/8/2015,2
40383040,SPRING ST. NATURAL RESTAURANT,62        ,SPRING STREET                                     ,10012,American ,Trans Fat / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,,,,1
40383354,THE CORNELIA STREET CAFE,29,CORNELIA STREET,10014,American ,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,5,A,10/5/2015,1
40383825,RUSSIAN SAMOVAR,256,WEST   52 STREET,10019,Russian,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,13,A,9/15/2015,2
40384188,LA MELA RESTAURANT,167,MULBERRY STREET,10013,Italian,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,10,A,10/5/2015,3
40384188,LA MELA RESTAURANT,167,MULBERRY STREET,10013,Italian,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,19,,,5
40384222,PJ MORANS,3,EAST   48 STREET,10017,Irish,Cycle Inspection / Initial Inspection,9/3/2015 0:00,Violations were cited in the following area(s).,7,A,9/3/2015,2
40384222,PJ MORANS,3,EAST   48 STREET,10017,Irish,Administrative Miscellaneous / Initial Inspection,9/3/2015 0:00,Violations were cited in the following area(s).,,,,1
40384340,FRIEND OF A FARMER,77,IRVING PLACE,10003,American ,Cycle Inspection / Re-inspection,10/1/2015 0:00,Violations were cited in the following area(s).,12,A,10/1/2015,2
40385587,ISLAND,1305,MADISON AVENUE,10128,Seafood,Cycle Inspection / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,21,,,4
40385587,ISLAND,1305,MADISON AVENUE,10128,Seafood,Smoke-Free Air Act / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40385587,ISLAND,1305,MADISON AVENUE,10128,Seafood,Trans Fat / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40386481,CHINA GRILL,51,WEST   52 STREET,10019,Asian,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,7,A,10/6/2015,2
40386619,PERIYALI,35,WEST   20 STREET,10011,Greek,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,24,,,4
40387237,LIVE BAIT BAR & RESTAURANT,14,EAST   23 STREET,10010,Seafood,Cycle Inspection / Reopening Inspection,10/9/2015 0:00,Establishment re-opened by DOHMH,13,A,10/9/2015,4
40387237,LIVE BAIT BAR & RESTAURANT,14,EAST   23 STREET,10010,Seafood,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,71,,,8
40387237,LIVE BAIT BAR & RESTAURANT,14,EAST   23 STREET,10010,Seafood,Administrative Miscellaneous / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,,,,1
40387277,PECULIAR PUB,145,BLEECKER STREET,10012,American ,Cycle Inspection / Re-inspection,9/9/2015 0:00,Violations were cited in the following area(s).,3,A,9/9/2015,1
40387861,WESTWAY DINER,614,9 AVENUE,10036,American ,Cycle Inspection / Initial Inspection,10/9/2015 0:00,Violations were cited in the following area(s).,2,A,10/9/2015,1
40388091,MASAWA,1239      ,AMSTERDAM AVENUE                                  ,10027,Ethiopian,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,27,Z,10/5/2015,5
40388828,DALLAS BBQ,132,SECOND AVENUE,10003,Barbecue,Cycle Inspection / Re-inspection,10/1/2015 0:00,Violations were cited in the following area(s).,7,A,10/1/2015,2
40389243,DA TOMMASSO,903       ,EIGHTH AVENUE                                     ,10019,Italian,Cycle Inspection / Re-inspection,9/23/2015 0:00,Violations were cited in the following area(s).,12,A,9/23/2015,2
40389243,DA TOMMASSO,903       ,EIGHTH AVENUE                                     ,10019,Italian,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,17,,,3
40389356,TOM'S RESTAURANT,2880,BROADWAY,10025,American ,Cycle Inspection / Re-inspection,10/9/2015 0:00,Violations were cited in the following area(s).,10,A,10/9/2015,3
40389356,TOM'S RESTAURANT,2880,BROADWAY,10025,American ,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,66,,,9
40389710,AH! CHIHUAHUA,330,EAST   53 STREET,10022,Mexican,Cycle Inspection / Re-inspection,9/3/2015 0:00,Violations were cited in the following area(s).,11,A,9/3/2015,3
40389710,AH! CHIHUAHUA,330,EAST   53 STREET,10022,Mexican,Administrative Miscellaneous / Re-inspection,9/3/2015 0:00,Violations were cited in the following area(s).,,,,1
40391060,LUKE'S BAR & GRILL,1394      ,THIRD AVENUE                                      ,10075,American ,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,12,A,9/10/2015,3
40391174,BELLO RESTAURANT,863       ,9 AVENUE                                          ,10019,Italian,Cycle Inspection / Initial Inspection,9/30/2015 0:00,Violations were cited in the following area(s).,21,,,5
40391339,3 GUYS,1381,MADISON AVENUE,10029,American ,Cycle Inspection / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,26,,,4
40391594,TAKA HASHI RESTAURANT,85        ,AVENUE A                                          ,10009,Japanese,Cycle Inspection / Re-inspection,9/9/2015 0:00,Violations were cited in the following area(s).,27,Z,9/9/2015,5
40391695,ORSO,322,WEST   46 STREET,10036,Italian,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,10,A,9/17/2015,3
40391699,H & H MIDTOWN BAGELS EAST,1551,2 AVENUE,10028,Bagels/Pretzels,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,9,A,9/18/2015,2
40391745,LILY'S BAR @ ROGER SMITH HOTEL,501       ,LEXINGTON AVENUE                                  ,10017,American ,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,12,A,9/22/2015,3
40391745,LILY'S BAR @ ROGER SMITH HOTEL,501       ,LEXINGTON AVENUE                                  ,10017,American ,Smoke-Free Air Act / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,,,,3
40392685,DOJO RESTAURANT,10,WEST    4 STREET,10036,Japanese,Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,32,Z,9/21/2015,5
40392685,DOJO RESTAURANT,10,WEST    4 STREET,10036,Japanese,Administrative Miscellaneous / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,,,,1
40392685,DOJO RESTAURANT,10,WEST    4 STREET,10036,Japanese,Cycle Inspection / Initial Inspection,9/2/2015 0:00,Violations were cited in the following area(s).,22,,,3
40393044,SCALINATELLA RESTAURANT,201,EAST   61 STREET,10065,Italian,Cycle Inspection / Re-inspection,9/1/2015 0:00,Violations were cited in the following area(s).,8,A,9/1/2015,2
40394007,NIAGARA/ LOVERS OF TODAY/ CABIN DOWN BELOW,112,AVENUE A,10009,American ,Smoke-Free Air Act / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,,,,1
40394053,FLIGHT 151,151,8 AVENUE,10011,American ,Cycle Inspection / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,19,Z,9/15/2015,4
40394066,BOMBAY MASALA,148,WEST   49 STREET,10019,Indian,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,9,A,9/15/2015,2
40394176,MOONSTRUCK EAST,449,THIRD AVENUE,10016,American ,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,4,A,9/22/2015,2
40394392,PICCOLO ANGOLO,621,HUDSON STREET,10014,Italian,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,25,,,4
40394392,PICCOLO ANGOLO,621,HUDSON STREET,10014,Italian,Administrative Miscellaneous / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,,,,1
40394401,BAR SIX,502,6 AVENUE,10011,French,Cycle Inspection / Initial Inspection,9/30/2015 0:00,Violations were cited in the following area(s).,17,,,3
40394560,MARUMI,546       ,LA GUARDIA PLACE                                  ,10012,Japanese,Cycle Inspection / Re-inspection,9/29/2015 0:00,Violations were cited in the following area(s).,9,A,9/29/2015,2
40394560,MARUMI,546       ,LA GUARDIA PLACE                                  ,10012,Japanese,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,28,,,6
40394749,FINE & SHAPIRO,138,WEST   72 STREET,10023,Jewish/Kosher,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,11,A,9/29/2015,3
40395023,JING FONG RESTAURANT,20,ELIZABETH STREET,10013,Chinese,Cycle Inspection / Re-inspection,10/15/2015 0:00,Violations were cited in the following area(s).,14,Z,10/15/2015,2
40395023,JING FONG RESTAURANT,20,ELIZABETH STREET,10013,Chinese,Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,31,,,7
40395023,JING FONG RESTAURANT,20,ELIZABETH STREET,10013,Chinese,Administrative Miscellaneous / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,,,,1
40395079,RUDY'S BAR & Grill,627       ,9 AVENUE                                          ,10036,American ,Cycle Inspection / Re-inspection,10/7/2015 0:00,Violations were cited in the following area(s).,9,A,10/7/2015,2
40395079,RUDY'S BAR & Grill,627       ,9 AVENUE                                          ,10036,American ,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,23,,,4
40395376,LE PETIT CAFE,156,SPRING STREET,10012,American ,Cycle Inspection / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,22,Z,9/8/2015,4
40395872,CARIDAD RESTAURANT,3533,BROADWAY,10031,Spanish,Cycle Inspection / Initial Inspection,9/30/2015 0:00,Violations were cited in the following area(s).,53,,,8
40396264,DA NICO RESTAURANT,164       ,MULBERRY STREET                                   ,10013,Italian,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,13,A,10/5/2015,2
40396264,DA NICO RESTAURANT,164       ,MULBERRY STREET                                   ,10013,Italian,Cycle Inspection / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,35,,,6
40396264,DA NICO RESTAURANT,164       ,MULBERRY STREET                                   ,10013,Italian,Administrative Miscellaneous / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40396395,CAFE LOUP,105       ,WEST   13 STREET                                  ,10011,French,Cycle Inspection / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,24,Z,9/15/2015,4
40397082,MOTIVO,915,BROADWAY,10010,American ,Cycle Inspection / Re-inspection,10/3/2015 0:00,Violations were cited in the following area(s).,5,A,10/3/2015,1
40397486,CREDIT AGRICOLE-CBI EXECUTIVE ROOM,1301 ,AVENUE OF THE AMERICAS,10019,French,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,7,A,9/1/2015,2
40397624,LE MIRAGE CAFE,20,WEST   43 STREET,10036,American ,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,12,A,9/28/2015,3
40397624,LE MIRAGE CAFE,20,WEST   43 STREET,10036,American ,Cycle Inspection / Initial Inspection,9/2/2015 0:00,Violations were cited in the following area(s).,20,,,3
40397687,USAGI,320,EAST   49 STREET,10017,Japanese,Cycle Inspection / Re-inspection,10/8/2015 0:00,Violations were cited in the following area(s).,10,A,10/8/2015,2
40397687,USAGI,320,EAST   49 STREET,10017,Japanese,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,26,,,5
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,1188,YORK AVENUE,10065,American ,Cycle Inspection / Initial Inspection,10/2/2015 0:00,Violations were cited in the following area(s).,39,,,8
40398561,TOM AND JERRY BAR,288       ,ELIZABETH STREET                                  ,10012,American ,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,10,A,9/16/2015,2
40398588,WORLD CUP CAFE,956       ,LEXINGTON AVENUE                                  ,10021,Café/Coffee/Tea,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,31,Z,9/28/2015,6
40398811,RICK'S CABARET,50,WEST   33 STREET,10001,American ,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,27,,,5
40399279,POMODORO RISTORANTE,229,COLUMBUS AVENUE,10023,Italian,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,25,,,5
40399279,POMODORO RISTORANTE,229,COLUMBUS AVENUE,10023,Italian,Trans Fat / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,,,,1
40399279,POMODORO RISTORANTE,229,COLUMBUS AVENUE,10023,Italian,Administrative Miscellaneous / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,,,,1
40399472,OLIVE GARDEN ITALIAN RESTAURANT,2,TIMES SQUARE,10036,Italian,Cycle Inspection / Re-inspection,10/9/2015 0:00,Violations were cited in the following area(s).,50,Z,10/9/2015,8
40399472,OLIVE GARDEN ITALIAN RESTAURANT,2,TIMES SQUARE,10036,Italian,Administrative Miscellaneous / Re-inspection,10/9/2015 0:00,Violations were cited in the following area(s).,,,,1
40399472,OLIVE GARDEN ITALIAN RESTAURANT,2,TIMES SQUARE,10036,Italian,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,19,,,4
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,18,WEST   33 STREET,10001,Irish,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,24,,,4
40399561,PICK-A-BAGEL,297,3 AVENUE,10010,Bagels/Pretzels,Cycle Inspection / Re-inspection,9/16/2015 0:00,Violations were cited in the following area(s).,10,A,9/16/2015,2
40399784,UNCLE NICKS,747       ,9 AVENUE                                          ,10019,Mediterranean,Cycle Inspection / Re-inspection,9/16/2015 0:00,Violations were cited in the following area(s).,9,A,9/16/2015,2
40399834,HAN GAWI,12,EAST   32 STREET,10016,Korean,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,29,,,8
40399834,HAN GAWI,12,EAST   32 STREET,10016,Korean,Smoke-Free Air Act / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,,,,1
40399834,HAN GAWI,12,EAST   32 STREET,10016,Korean,Trans Fat / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,,,,1
40399922,WHITE CASTLE,20922094  ,7TH AVE                                                                                             ,10027,Hamburgers,Administrative Miscellaneous / Initial Inspection,10/13/2015 0:00,Violations were cited in the following area(s).,,,,1
40400039,CAFE GITANE,242       ,MOTT STREET                                       ,10012,Moroccan,Cycle Inspection / Re-inspection,10/14/2015 0:00,Violations were cited in the following area(s).,3,A,10/14/2015,1
40400039,CAFE GITANE,242       ,MOTT STREET                                       ,10012,Moroccan,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,24,,,5
40400172,MATT'S GRILL RESTAURANT,932,8 AVENUE,10019,American ,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,22,,,4
40401066,SALAM CAFE & REST,104       ,W. 13TH ST. (UNIT ONE)                            ,10011,Middle Eastern,Cycle Inspection / Re-inspection,9/3/2015 0:00,Violations were cited in the following area(s).,7,A,9/3/2015,2
40401104,1020 BAR,1020,AMSTERDAM AVENUE,10025,American ,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,36,,,7
40401775,ORIENTAL EXPRESS,62,WILLIAM STREET,10005,Chinese,Cycle Inspection / Re-inspection,9/11/2015 0:00,Violations were cited in the following area(s).,9,A,9/11/2015,3
40401953,MCDONALD'S,237987,ADAM CLAYTON POWELL BOULEVARD,10030,Hamburgers,Cycle Inspection / Compliance Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,2,,,1
40401971,TJ BYRNE'S BAR,77,FULTON STREET,10038,American ,Cycle Inspection / Re-inspection,9/25/2015 0:00,Violations were cited in the following area(s).,8,A,9/25/2015,2
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Cycle Inspection / Reopening Inspection,9/17/2015 0:00,Establishment re-opened by DOHMH,2,Z,9/17/2015,1
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Cycle Inspection / Reopening Inspection,9/16/2015 0:00,Establishment re-closed by DOHMH,11,,,3
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Cycle Inspection / Reopening Inspection,9/14/2015 0:00,Establishment re-closed by DOHMH,17,,,5
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Cycle Inspection / Reopening Inspection,9/10/2015 0:00,Establishment re-closed by DOHMH,12,,,4
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Administrative Miscellaneous / Reopening Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,,,,1
40402205,PIADINA RESTAURANT,57        ,WEST   10 STREET                                  ,10011,Italian,Cycle Inspection / Re-inspection,9/3/2015 0:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,37,,,5
40402231,THE TRIPLE CROWN,330       ,7 AVENUE                                          ,10001,Irish,Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,7,A,9/21/2015,2
40402365,MICHAEL'S,24,WEST   55 STREET,10019,American ,Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,10,A,9/21/2015,3
40402428,DOWN TOWN ASSOCIATION,60,PINE STREET,10005,American ,Cycle Inspection / Re-inspection,9/30/2015 0:00,Violations were cited in the following area(s).,12,A,9/30/2015,3
40403586,THE UNIVERSITY CLUB,1         ,WEST   54 STREET                                  ,10019,American ,Cycle Inspection / Initial Inspection,10/2/2015 0:00,Violations were cited in the following area(s).,11,A,10/2/2015,2
40403880,CAFE 101 16TH FLOOR CAFETERIA,101       ,BARCLAY STREET                                    ,10007,American ,Cycle Inspection / Initial Inspection,9/25/2015 0:00,Violations were cited in the following area(s).,10,A,9/25/2015,2
40403917,P.S. GOURMET (CAFE ON 8),754,5 AVENUE,10019,American ,Cycle Inspection / Re-inspection,10/1/2015 0:00,Violations were cited in the following area(s).,12,A,10/1/2015,2
40403917,P.S. GOURMET (CAFE ON 8),754,5 AVENUE,10019,American ,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,25,,,4
40404010,ING FORMAN SELZ,230       ,PARK AVENUE                                       ,10169,American ,Cycle Inspection / Initial Inspection,9/4/2015 0:00,Violations were cited in the following area(s).,10,A,9/4/2015,2
40404074,MORGAN STANLEY CAFETERIA,750,7 AVENUE,10019,American ,Cycle Inspection / Initial Inspection,10/9/2015 0:00,Violations were cited in the following area(s).,2,A,10/9/2015,1
40423705,ZARO'S BAKERY,89        ,EAST   42 STREET                                                                                    ,10017,American ,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,8,A,10/6/2015,1
40424906,MANNA HOUSE BAKERY,87        ,EAST BROADWAY                                     ,10002,Bakery,Cycle Inspection / Re-inspection,9/23/2015 0:00,Violations were cited in the following area(s).,35,Z,9/23/2015,6
40424906,MANNA HOUSE BAKERY,87        ,EAST BROADWAY                                     ,10002,Bakery,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,25,,,4
40511292,EL CASTILLO DE MADISON,207       ,MADISON STREET                                    ,10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Re-inspection,9/3/2015 0:00,Violations were cited in the following area(s).,24,Z,9/3/2015,5
